user_id,date,time_of_day,emotion_tag,tempo,energy,valence,danceability,acousticness
1087,2025-07-21,Night,Relax,113.89434050074095,0.6070971504622822,0.46157904097208735,0.8910634329351543,0.051589878448225775
1087,2025-07-23,Evening,Romantic,124.1098003039893,0.5824686397141662,0.4527622457703434,0.7239238057904951,0.043772910033234365
1037,2025-07-23,Evening,Energetic,144.17151824594487,0.7482073933331062,0.818739992618707,0.31664278577268035,0.5900241696735359
1060,2025-07-21,Afternoon,Sad,140.40229439462001,0.5775030028847135,0.7824454748464379,0.4166853189320545,0.14118987316541987
1095,2025-07-21,Night,Romantic,120.24000518649231,0.48155390230274603,0.17593095344847517,0.6478001995163112,0.3668574454486351
1048,2025-07-23,Evening,Romantic,118.19970464643632,0.39058140326245216,0.20054020229116143,0.7323327562000661,0.12958843793430447
1063,2025-07-17,Morning,Happy,120.88550948077511,0.42524944252825436,0.6461065305478004,0.6668978193441818,0.16977821258163275
1090,2025-07-23,Night,Romantic,153.79874405703146,0.49338137403366755,0.36408526624784754,0.7639142375564945,0.0494904367125477
1009,2025-07-20,Afternoon,Sad,113.45355649333362,0.4190802921031067,0.8888661860398493,0.37480336777574136,0.15734808483863286
1041,2025-07-21,Afternoon,Romantic,93.48309623364932,0.6827962039764959,0.8167624810551634,0.864137115710113,0.2991229543270414
1006,2025-07-22,Morning,Energetic,158.1686939303275,0.47105512574285313,0.7158238815069472,0.7013588672201051,0.45649048388079344
1014,2025-07-19,Night,Happy,121.28660504415133,0.8439272359934018,0.49165569804239095,0.6059588986925606,0.14694882002200782
1014,2025-07-21,Morning,Sad,147.40628737383568,0.614626402726238,0.7611681670139238,0.7388461476207469,0.5287221678502148
1028,2025-07-18,Afternoon,Energetic,134.3071532186199,0.7278626036291829,0.42089394357042687,0.6516639484158452,0.27084886537627806
1051,2025-07-18,Night,Energetic,88.1798995741889,0.653228432545046,0.7980662495815586,0.8275445070492511,0.18412714270783465
1025,2025-07-18,Morning,Romantic,127.60443739894689,0.7489532949414366,0.26495061921553464,0.7484978727378572,0.3359739987717398
1080,2025-07-17,Morning,Sad,98.59444178225037,0.2809242469478849,0.5604951224017202,0.7393888369183412,0.24772332362983177
1093,2025-07-19,Night,Happy,92.68163154887203,0.21257695117291878,0.6897484236009656,0.651256387143162,0.6282636110971785
1073,2025-07-23,Night,Romantic,121.31291962394597,0.41650552053402345,0.5512490032198601,0.8858624537981186,0.4648539328179487
1058,2025-07-19,Afternoon,Happy,95.34980255410333,0.8932235812389508,0.2708905607601062,0.667940914664532,0.34238535171689294
1026,2025-07-17,Evening,Sad,81.47091316813179,0.8899616567597293,0.1841483883262045,0.3514919901482245,0.34116649299246243
1006,2025-07-18,Evening,Relax,141.01721254476084,0.6347990583285804,0.5864748098917827,0.8163796052765229,0.22673794042601791
1098,2025-07-21,Morning,Romantic,118.7693925707234,0.41603379714057703,0.8010286458259915,0.796825197104738,0.06543849943172232
1020,2025-07-19,Evening,Relax,87.02162993983806,0.7912648293439652,0.7694161324738621,0.5982575466152737,0.32589440576465073
1079,2025-07-22,Evening,Sad,100.7782830078543,0.34665291509210117,0.13478110987752345,0.3349066978860098,0.11072684617533109
1057,2025-07-20,Evening,Relax,137.10997111989278,0.46382013510757225,0.487105586853569,0.7243039938857876,0.6345237793679603
1084,2025-07-23,Afternoon,Energetic,130.88532503591486,0.5150203345320112,0.6272194926565635,0.4333289524709043,0.5559030825318173
1044,2025-07-23,Night,Relax,141.98386093231585,0.8893760134605169,0.5356608333089862,0.42368818084161053,0.3810218689131785
1014,2025-07-23,Morning,Energetic,114.72914779647685,0.6865191179147986,0.3625035314672552,0.41659237332436283,0.19876464852287176
